StatusSNS,url,local_timestamp
"{'Time': '2024-08-30T03:06:37', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.383, 'Yesterday': 2.054, 'Today': 0.268, 'Power': 361, 'ApparentPower': 398, 'ReactivePower': 169, 'Factor': 0.91, 'Voltage': 222, 'Current': 1.794}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:06:38
"{'Time': '2024-08-30T03:06:52', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.385, 'Yesterday': 2.054, 'Today': 0.269, 'Power': 365, 'ApparentPower': 406, 'ReactivePower': 177, 'Factor': 0.9, 'Voltage': 224, 'Current': 1.814}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:06:53
"{'Time': '2024-08-30T03:07:07', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.386, 'Yesterday': 2.054, 'Today': 0.271, 'Power': 364, 'ApparentPower': 402, 'ReactivePower': 172, 'Factor': 0.9, 'Voltage': 221, 'Current': 1.817}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:07:08
"{'Time': '2024-08-30T03:07:22', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.388, 'Yesterday': 2.054, 'Today': 0.273, 'Power': 363, 'ApparentPower': 400, 'ReactivePower': 167, 'Factor': 0.91, 'Voltage': 220, 'Current': 1.814}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:07:23
"{'Time': '2024-08-30T03:07:37', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.389, 'Yesterday': 2.054, 'Today': 0.274, 'Power': 365, 'ApparentPower': 405, 'ReactivePower': 176, 'Factor': 0.9, 'Voltage': 224, 'Current': 1.807}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:07:38
"{'Time': '2024-08-30T03:07:52', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.391, 'Yesterday': 2.054, 'Today': 0.276, 'Power': 364, 'ApparentPower': 402, 'ReactivePower': 171, 'Factor': 0.91, 'Voltage': 222, 'Current': 1.812}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:07:53
"{'Time': '2024-08-30T03:08:07', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.392, 'Yesterday': 2.054, 'Today': 0.277, 'Power': 364, 'ApparentPower': 404, 'ReactivePower': 174, 'Factor': 0.9, 'Voltage': 223, 'Current': 1.812}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:08:08
"{'Time': '2024-08-30T03:08:22', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.394, 'Yesterday': 2.054, 'Today': 0.279, 'Power': 363, 'ApparentPower': 401, 'ReactivePower': 170, 'Factor': 0.91, 'Voltage': 222, 'Current': 1.81}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:08:23
"{'Time': '2024-08-30T03:08:37', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.395, 'Yesterday': 2.054, 'Today': 0.28, 'Power': 363, 'ApparentPower': 401, 'ReactivePower': 171, 'Factor': 0.9, 'Voltage': 223, 'Current': 1.802}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:08:39
"{'Time': '2024-08-30T03:08:52', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.397, 'Yesterday': 2.054, 'Today': 0.282, 'Power': 362, 'ApparentPower': 400, 'ReactivePower': 170, 'Factor': 0.91, 'Voltage': 222, 'Current': 1.804}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:08:54
"{'Time': '2024-08-30T03:09:08', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.398, 'Yesterday': 2.054, 'Today': 0.283, 'Power': 363, 'ApparentPower': 405, 'ReactivePower': 179, 'Factor': 0.9, 'Voltage': 224, 'Current': 1.805}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:09:09
"{'Time': '2024-08-30T03:09:23', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.4, 'Yesterday': 2.054, 'Today': 0.285, 'Period': 0, 'Power': 363, 'ApparentPower': 405, 'ReactivePower': 180, 'Factor': 0.9, 'Voltage': 225, 'Current': 1.801}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:09:24
